Nama,Latitude,Longitude
Stadion Gelora Bandung Lautan Api (GBLA),-6.957528,107.712083
Stadion Si Jalak Harupat,-6.996389,107.529722
Stadion Pakansari,-6.495,106.833361
Stadion Patriot Candrabhaga,-6.238312,106.991858
Stadion Wibawa Mukti,-6.311442,107.181862
Stadion Siliwangi,-6.910312,107.619367
Stadion Persib (Sidolig),-6.917151,107.629654
Stadion Arcamanik,-6.910797,107.673569
Stadion Sangkuriang,-6.868837,107.536533
Stadion Pajajaran,-6.577165,106.797661
Stadion Mini Persikabo Cibinong,-6.476559,106.825196
Stadion Singaperbangsa,-6.302641,107.306235
Stadion Purnawarman,-6.564369,107.4455
Stadion Persikas,-6.576516,107.767197
Stadion Suryakencana,-6.931901,106.918595
Stadion Korpri Cisaat,-6.907364,106.896261
Stadion Badak Putih,-6.823831,107.135555
Stadion Bima,-6.731378,108.534442
Stadion Ranggajati,-6.761571,108.479847
Stadion Watubelah,-6.737673,108.497035
Stadion Tridaya,-6.336146,108.329396
Stadion Warung Jambu,-6.83954,108.23573
Stadion Mashud Wisnusaputra,-6.9769,108.4854
Stadion Galuh,-7.334167,108.356389
Stadion Gelora Banjar Patroman,-7.348831,108.633851
Stadion Serka Dedi Unadi,-7.726294,108.488751
Stadion Wiradadaha,-7.33585,108.2241
Stadion Mangunreja,-7.36284,108.08376
Stadion R.A.A. Adiwijaya (SOR Ciateul),-7.193027,107.900772
Stadion Jayaraga,-7.206779,107.897923
Stadion Ahmad Yani,-6.843787,107.926369
Stadion Merpati,-6.389412,106.806695
Stadion Mahakam,-6.385288,106.847266
Stadion Elang Bondol,-6.540556,106.760833
Stadion Cikarang,-6.25075,107.160244
Stadion Universitas Indonesia (UI),-6.365392,106.822765
Stadion UPI,-6.859285,107.588931
Stadion Atletik Prabu Linggabuana,-7.338769,108.337497
Stadion Mini Setia Mekar Tambun,-6.262244,107.066646
Stadion Mini Tenjo,-6.339955,106.441426
